mode,method,fold,model_name,android_exportable,accuracy,macro_f1,train_rows,test_rows,train_groups,test_groups,train_label_counts,test_label_counts,mean_test_confidence
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,logistic_regression,True,0.7385103011093502,0.7358146376688577,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.6839934977647817
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,random_forest,True,0.8399366085578447,0.8363727395720192,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7677181038598487
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,extra_trees,True,0.8177496038034865,0.8145092116709044,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7034193851749659
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,gradient_boosting,False,0.8351822503961965,0.8334217832713975,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7739372110511022
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,logistic_regression,True,0.6893819334389857,0.6799444481971934,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.6877131622753845
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,random_forest,True,0.8114104595879557,0.8077491043645416,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7522699540362551
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,extra_trees,True,0.8019017432646592,0.7970773672438569,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.6876265142010497
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,gradient_boosting,False,0.8145800316957211,0.8112715356283845,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7671411146748741
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,logistic_regression,True,0.7131537242472267,0.7079224833338698,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.6799950616706576
controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,random_forest,True,0.849445324881141,0.8472264326448968,2522,631,1,1,"{""NORMAL"": 1097, ""ROAD_ANOMALY"": 791, ""AGGRESSIVE"": 634}","{""NORMAL"": 274, ""ROAD_ANOMALY"": 198, ""AGGRESSIVE"": 159}",0.7692206778835039
