feature,importance
jerk_mean,0.11783144826213346
gyro_max,0.11361959934289845
accel_p50,0.1101147593414799
gyro_std,0.10536730161879677
gyro_min,0.08230466314691379
gyro_mean,0.05892118005468795
gyro_sma,0.04049906015234846
motion_std,0.036533241482028155
accel_std,0.03580157753035956
jerk_max,0.03364232987995554
jerk_p90,0.03308598415454074
gyro_p90,0.032409836921945184
jerk_peak_count,0.028899788247222433
accel_min,0.025708739476204095
gyro_p95,0.024340850218515522
jerk_std,0.013994278734284818
accel_max,0.012428841734791717
jerk_min,0.012234453333269502
jerk_p95,0.010742581789752048
motion_mean,0.009579841056109222
gyro_energy,0.009555664744146245
motion_max,0.009211213962089109
accel_p95,0.006674439719500828
gyro_rms,0.0064808924278797735
accel_p90,0.004419428833902424
accel_p75,0.004292452028475169
accel_sma,0.0027539154649391553
jerk_energy,0.002685200508227929
accel_peak_count,0.002640658078056149
motion_energy,0.0022208830249774722
accel_mean,0.0021874611767668593
jerk_rms,0.0021332410660976856
gyro_peak_count,0.0019812063757248827
motion_rms,0.001963864843269419
accel_rms,0.0015072966101670738
accel_energy,0.0012318246575424127
