feature,importance
gyro_std,0.06656480769878374
accel_p50,0.0600794303387199
gyro_p90,0.05614199849252149
gyro_p95,0.053171753043200584
gyro_max,0.0471343970481783
gyro_rms,0.04269142019602994
gyro_sma,0.041412052308133954
gyro_energy,0.04015805005426728
jerk_mean,0.03660425621060511
accel_std,0.03501054018146323
jerk_energy,0.03399480004281808
gyro_min,0.03350216980928042
gyro_mean,0.03194629050755187
motion_std,0.03150112321173281
jerk_p90,0.030319867182699238
jerk_peak_count,0.02962524900904984
accel_mean,0.026233564067125528
jerk_rms,0.02434597978938881
jerk_std,0.023710700006260847
jerk_p95,0.021829952750351295
jerk_max,0.02172078834704266
motion_mean,0.02144595881430712
accel_sma,0.02139486254620941
accel_p75,0.01935312617612542
accel_p95,0.017344632991361048
accel_max,0.016702980509200587
motion_max,0.016206062584580603
accel_min,0.014913260584855844
accel_p90,0.014248361735839035
motion_energy,0.012491053849907221
accel_energy,0.011667297405257357
accel_rms,0.011503712525742841
jerk_min,0.011481443728041397
accel_peak_count,0.010537941001784129
motion_rms,0.010192977350314424
gyro_peak_count,0.002817137901268558
