feature,f_score,p_value
accel_p50,385.5196850014506,1.7069766480135252e-150
motion_mean,351.074774983849,2.2734114007378532e-138
accel_mean,316.7793432208775,4.424606275073034e-126
accel_sma,316.7793432208775,4.424606275073034e-126
motion_rms,290.02883420051904,2.438579234115701e-116
accel_p75,269.7527478851817,7.315899149705361e-109
accel_rms,264.19297663237137,8.489494677201571e-107
accel_min,243.1796629777976,6.150717859389336e-99
accel_peak_count,208.60055215059137,8.378417641363255e-86
gyro_min,199.22125693019018,3.3855431397660007e-82
accel_p90,198.71031152857185,5.328942193675449e-82
jerk_peak_count,183.6916668129055,3.492146422439371e-76
accel_energy,179.05105471793465,2.2406118052697187e-74
accel_p95,168.34151195483278,3.463269682627689e-70
motion_energy,153.2750760354962,2.9964958207368294e-64
gyro_sma,146.97182473038322,9.45941383452391e-62
gyro_mean,146.97182473038322,9.45941383452391e-62
jerk_mean,134.02221735619563,1.3779644024781e-56
gyro_rms,130.36593548569797,4.019616770163347e-55
jerk_p90,125.23194298920079,4.639908486797195e-53
motion_max,122.05539922330598,8.823641727894567e-52
jerk_rms,119.73462419482543,7.615489092712969e-51
gyro_p90,119.66451281805051,8.128232542833122e-51
motion_std,119.61121882069783,8.540974008858295e-51
gyro_p95,116.41019908178217,1.6779948723041379e-49
jerk_p95,115.3099977437544,4.675862287249645e-49
accel_std,113.14964187429493,3.504669200101821e-48
accel_max,112.55999808157618,6.075806014813533e-48
gyro_max,106.99389636828207,1.1051586956383033e-45
gyro_std,103.37903450610548,3.2738348999638145e-44
jerk_std,97.09148894337852,1.2087093565432748e-41
jerk_energy,82.65065540146414,1.0360693001198453e-35
jerk_max,70.21246433892487,1.4697485286517589e-30
gyro_peak_count,53.350119512959054,1.637228185904617e-23
gyro_energy,42.279856667483934,7.589700188336645e-19
jerk_min,32.68692109224995,8.903281599838961e-15
