mode,method,fold,model_name,android_exportable,accuracy,macro_f1,train_rows,test_rows,train_groups,test_groups,train_label_counts,test_label_counts,mean_test_confidence
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,logistic_regression,True,0.751188589540412,0.725214617571597,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7391411868112949
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,random_forest,True,0.8890649762282092,0.8670026978850509,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8419218325017865
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,extra_trees,True,0.873217115689382,0.8507109565381976,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7616461903143243
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),1,gradient_boosting,False,0.884310618066561,0.8639704688076781,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8225479252109694
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,logistic_regression,True,0.7353407290015848,0.7113251533406202,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7357552317669885
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,random_forest,True,0.8906497622820919,0.8691048478015784,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8377931023258953
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,extra_trees,True,0.8763866877971473,0.8568711613623674,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7548367742336388
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),2,gradient_boosting,False,0.8700475435816165,0.8495312209194119,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8263490872655144
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,logistic_regression,True,0.7733755942947702,0.7497177726926011,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.747529680996391
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,random_forest,True,0.8938193343898574,0.8732874762097439,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8529520000358323
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,extra_trees,True,0.8748019017432647,0.8540365486930372,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7736366768074455
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),3,gradient_boosting,False,0.8763866877971473,0.856480509482819,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8336338632583623
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),4,logistic_regression,True,0.7464342313787639,0.7151884450462649,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.736721604870949
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),4,random_forest,True,0.8922345483359746,0.8687314912259233,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.8444656305217928
road_condition_binary_controlled_random_repeated,Repeated stratified random row split(n_repeats=5),4,extra_trees,True,0.8827258320126783,0.8585201793721973,2522,631,1,1,"{""NORMAL_ROAD"": 1731, ""ROAD_ANOMALY"": 791}","{""NORMAL_ROAD"": 433, ""ROAD_ANOMALY"": 198}",0.7639854920937578
